Date,Close,High,Low,Open,Volume,MA_20,MA_50,MA_100,Trend,Momentum,Returns,Volatility,Signal
2024-09-17,430.1188659667969,436.741413807479,427.2721591954558,435.1401487897844,18874200,412.42284393310547,417.85719970703127,420.18834808349607,False,20.707763671875,0.008832965946236726,0.011535375342060209,0
2024-09-18,425.8290100097656,430.9886580324637,425.43364080776206,429.9705680090547,18898000,412.7198684692383,417.3055859375,420.516559753418,False,7.680145263671875,-0.009973652160987556,0.0117215079699173,0
2024-09-19,433.617919921875,436.3954286172224,431.8486072464737,436.12856118496126,21706600,413.43895721435547,416.7773406982422,420.85096069335935,False,11.554840087890625,0.018291167884336268,0.012338350577240925,0
2024-09-20,430.2374572753906,434.1615578880838,429.1996092968504,432.1649237095232,55167100,414.41355895996094,416.4094061279297,421.1916421508789,False,4.625885009765625,-0.007795947748408194,0.011451155279056578,0
2024-09-23,428.4978332519531,431.41370770372646,425.4139110417271,429.2589197702658,15128900,415.2398941040039,416.0293719482422,421.64217468261717,False,2.144927978515625,-0.004043404389878602,0.011539221301112878,0
2024-09-24,424.2080078125,428.33967197864655,421.1734954974966,427.9937125983331,17015800,416.01483154296875,415.5554510498047,421.99455657958987,False,-5.910858154296875,-0.010011311858678096,0.011643256198366396,1
2024-09-25,427.114013671875,428.1123459008627,423.6149641825675,424.8603757953974,13396400,416.9177719116211,415.2272650146484,422.3474368286133,False,1.285003662109375,0.006850426691283662,0.011691231693560764,1
2024-09-26,426.3232116699219,430.2670698250282,424.168423966839,430.0595062812688,14492000,417.94129638671876,415.0016619873047,422.60554260253906,False,-7.294708251953125,-0.0018515009497221957,0.011495389742870387,1
2024-09-27,423.0713195800781,426.8570548863857,422.52769062045775,426.5308533788208,14896100,418.6776840209961,414.77318115234374,422.7633688354492,False,-7.1661376953125,-0.007627762225533075,0.011678412472644374,1
2024-09-30,425.324951171875,425.4435890958682,420.451958019216,423.2591189255808,16807300,419.328076171875,414.6541033935547,422.98509674072267,False,-3.172882080078125,0.005326836132578672,0.011562698839547112,1
2024-10-01,415.8260498046875,423.525991477608,413.9677812470877,423.49633953955015,19092900,419.88407440185546,414.23000244140627,423.10001708984373,False,-8.3819580078125,-0.02233328033310933,0.011942940108587085,1
2024-10-02,412.3072204589844,417.9314360837514,411.8920631533064,417.6941904099043,16582300,420.2908187866211,413.69783386230466,423.1622183227539,False,-14.806793212890625,-0.008462262879768812,0.012134562819814473,1
2024-10-03,411.7240295410156,414.699207817815,409.50004373541833,412.8014234892919,13686400,420.69360809326173,413.4687469482422,423.1947543334961,False,-14.59918212890625,-0.0014144572033435443,0.01213629883448583,1
